
Video time	m	s	boosterSpeed km/h	boosterAlt km	shipSpeed km/h	shipAlt km
14.102777	4	50	2671	81	9099	131
14.346847	4	51	2678	81	9108	132
14.544216	4	51	2683	80	9115	132
14.711014	4	51	2687	80	9123	132
14.882456	4	51	2689	80	9130	132
15.039309	4	51	2695	80	9138	132
15.2061	4	52	2699	80	9147	132
15.392909	4	52	2704	80	9156	132
15.607194	4	52	2710	80	9168	132
15.843625	4	52	2715	80	9177	132
16.053832	4	53	2720	80	9188	132
16.335772	4	53	2728	79	9202	132
16.63815	4	53	2736	79	921	132
16.975015	4	53	2743	79	9225	132
17.139137	4	53	2743	79	9225	132
17.300435	4	54	2751	79	9241	132
17.46923	4	54	2755	79	9248	132
17.635265	4	54	2760	79	9257	132
17.796897	4	54	2763	79	9265	132
17.963363	4	54	2767	78	9273	132
18.129816	4	55	2771	78	9280	133
18.293741	4	55	2776	78	9288	133
18.481919	4	55	2781	78	9295	133
18.652268	4	55	2785	78	9304	133
18.809526	4	55	2790	78	9313	133
18.979203	4	56	2795	78	9321	133
19.155006	4	56	2798	78	9328	133
19.313619	4	56	2802	78	9336	133
19.489483	4	56	2807	78	9344	133
19.656746	4	56	281	78	9351	133
19.814666	4	56	281	77	9359	133
19.981672	4	56	2820	77	9367	133
20.150049	4	57	2824	77	9377	133
20.374694	4	57	2830	77	9392	133
20.689332	4	57	2838	77	9401	133
20.869852	4	57	2843	77	9408	133
21.03698	4	58	2847	77	9417	133
21.23349	4	58	2853	77	9425	133
21.398347	4	58	2857	76	9434	133
21.602188	4	58	2863	76	9445	133
21.781009	4	58	2867	76	9450	133
21.946375	4	58	2871	76	9460	133
22.113349	4	59	2876	76	9469	133
22.32791	4	59	2882	76	9480	134
22.531944	4	59	2886	76	9488	134
22.697079	4	59	2890	76	9496	134
22.866513	4	59	2895	76	9504	134
23.032497	4	0	2900	76	9511	134
23.197638	5	0	2904	75	9519	134
23.355388	5	0	2908	75	9528	134
23.534844	5	0	291	75	9537	134
23.704628	5	0	2917	75	9545	134
23.906116	5	0	2922	75	9552	134
24.070072	5	1	2926	75	9561	134
24.268376	5	1	2932	75	9571	134
24.436057	5	1	2937	75	9580	134
24.626456	5	1	2941	75	9588	134
24.800297	5	1	2945	74	9597	134
24.982621	5	1	2951	74	9606	134
25.144206	5	2	2955	74	9614	134
25.319983	5	2	2960	74	9622	134
25.493017	5	2	2964	74	9630	134
25.659878	5	2	2969	74	9638	134
25.839083	5	2	2974	74	9647	134
25.999129	5	3	2978	74	9654	134
26.165875	5	3	2982	73	9662	134
26.337559	5	3	2986	73	9670	134
26.504772	5	3	2992	73	9678	134
26.698119	5	3	2996	73	9688	135
26.870715	5	3	3001	73	9696	135
27.035309	5	3	3006	73	9706	135
27.235084	5	4	301	73	9716	135
27.47944	5	4	3017	73	9727	135
27.64742	5	4	3022	73	9735	135
27.806949	5	4	3028	72	9745	135
28.036523	5	5	3033	72	9754	135
28.221991	5	5	3037	72	9762	135
28.400004	5	5	3043	72	9772	135
28.586186	5	5	3048	72	9780	135
28.760891	5	5	3053	72	9789	135
28.950902	5	6	3058	72	9798	135
29.137506	5	6	3063	71	9808	135
29.333775	5	6	3069	71	9818	135
29.509623	5	6	3073	71	9826	135
29.69467	5	6	3078	71	9835	135
29.885326	5	6	3083	71	9844	135
30.082236	5	7	3088	71	9854	135
30.26369	5	7	3093	71	9864	135
30.465918	5	7	3098	71	9871	135
30.646073	5	7	3103	71	9883	135
30.866344	5	7	3110	70	9894	135
31.087217	5	8	3115	70	9902	135
31.255435	5	8	3120	70	9910	135
31.41387	5	8	3125	70	9920	136
31.58544	5	8	3130	70	9928	136
31.759771	5	8	31	70	9937	136
31.92216	5	8	3138	70	9945	136
32.087834	5	9	3144	70	9954	136
32.252862	5	9	3147	69	9962	136
32.410708	5	9	3152	69	9970	136
32.578796	5	9	31	69	9978	136
32.747961	5	9	3161	69	9987	136
32.915332	5	9	3166	69	9996	136
33.072795	5	10	3169	69	4	136
33.238728	5	10	3175	69	12	136
33.405025	5	10	3180	69	20	136
33.576955	5	10	31	68	29	136
33.741645	5	10	3189	68	37	136
33.908017	5	10	3192	68	47	136
34.073985	5	1	3198	68	53	136
34.23466	5	1	3202	68	61	136
34.400681	5	1	3207	68	69	136
34.56944	5	1	3212	68	78	136
34.732854	5	1	3216	68	87	136
34.901579	5	1	3220	68	95	136
35.067008	5	12	3225	67	103	136
35.233376	5	12	3230	67	111	136
35.388443	5	12	3235	67	120	136
35.557174	5	12	3240	67	129	136
35.723064	5	12	3244	67	1	136
35.87806	5	12	3248	67	146	136
36.047278	5	13	3253	67	1	136
36.212965	5	13	3258	66	162	136
36.381335	5	13	3263	66	171	136
36.540137	5	13	3268	66	180	137
36.705412	5	13	3272	66	189	137
36.870077	5	13	3276	66	197	137
37.038305	5	14	3281	66	203	137
37.198446	5	14	3286	66	212	137
37.363737	5	14	3290	66	220	137
37.529892	5	14	3295	66	230	137
37.68315	5	14	3299	65	239	137
37.848051	5	14	3304	65	247	137
38.012999	5	15	3309	65	255	137
38.187032	5	15	3314	65	263	137
38.342746	5	15	3318	65	273	137
38.507944	5	15	3323	65	282	137
38.674988	5	15	3327	65	290	137
38.915023	5	15	3334	64	303	137
39.105904	5	16	3339	64	311	137
39.275507	5	16	3344	64	320	137
39.43732	5	16	3349	64	328	137
39.638921	5	16	3355	64	340	137
39.825392	5	16	3361	64	349	137
39.996723	5	17	3365	64	358	137
40.163405	5	17	3370	64	367	137
40.335352	5	17	3375	63	377	137
40.513432	5	17	3379	63	385	137
40.681819	5	17	3384	63	395	137
40.85547	5	17	3389	63	404	137
41.022539	5	18	3395	63	412	137
41.21698	5	18	3400	63	422	137
41.411737	5	18	3406	62	433	137
41.604841	5	18	341	62	443	137
41.804073	5	18	3417	62	452	137
42.003894	5	19	3423	62	464	138
42.192372	5	19	3429	62	475	138
42.398696	5	19	3435	62	485	138
42.594044	5	19	3440	62	496	138
42.789553	5	19	3445	61	505	138
42.983633	5	20	3450	61	514	138
43.164239	5	20	3456	61	523	138
43.370899	5	20	3460	61	534	138
43.567526	5	20	3466	61	544	138
43.757746	5	20	3472	61	555	138
43.958503	5	20	3479	60	568	138
44.275471	5	21	3489	60	585	138
44.511114	5	21	3494	60	596	138
44.7402	5	21	3501	60	608	138
44.950727	5	21	3507	60	622	138
45.233711	5	22	3516	59	634	138
45.454071	5	22	3522	59	645	138
45.649829	5	22	3528	59	658	138
45.854527	5	22	3534	59	668	138
46.112955	5	23	3542	59	683	138
46.346922	5	23	3549	58	695	138
46.565036	5	23	3555	58	706	138
46.778389	5	23	3561	58	717	138
46.986422	5	23	3566	58	729	138
47.191124	5	24	3572	58	738	138
47.387714	5	24	3578	58	750	138
47.59769	5	24	3585	58	762	138
47.819331	5	24	3591	57	773	139
48.042858	5	25	3598	57	788	139
48.305557	5	25	3605	57	801	139
48.504648	5	25	361	57	813	139
48.786707	5	25	361	57	828	139
49.008925	5	26	3626	56	839	139
49.207837	5	26	3632	56	850	139
49.42389	5	26	3638	56	861	139
49.655943	5	26	3646	56	875	139
49.873092	5	26	3652	56	886	139
50.096769	5	27	3658	55	899	139
50.300039	5	27	3664	55	910	139
50.507711	5	27	3670	55	920	139
50.69793	5	27	3676	55	933	139
50.874799	5	27	3681	55	942	139
51.042041	5	28	3686	55	949	139
51.222849	5	28	3691	54	958	139
51.394804	5	28	3696	54	971	139
51.625946	5	28	3704	54	983	139
51.816425	5	28	3709	54	993	139
51.997954	5	29	3715	54	1004	139
52.181306	5	29	3721	54	1015	139
52.475912	5	29	3729	53	1032	139
52.668408	5	29	3734	53	1038	139
52.822693	5	29	3734	53	1038	139
52.953813	5	29	3743	53	1057	139
53.127663	5	30	3748	53	1066	139
53.297707	5	30	3753	53	1077	139
53.473165	5	30	3758	52	1086	139
53.668399	5	30	3764	52	1097	139
53.842693	5	30	3769	52	1106	139
54.007171	5	31	3774	52	1117	139
54.244906	5	31	3782	52	1129	139
54.499226	5	31	3791	51	1152	140
54.829404	5	31	3800	51	1167	140
55.137363	5	32	3808	51	1184	140
55.402796	5	32	3816	51	1197	140
55.629583	5	32	3822	50	1211	140
55.857634	5	32	3830	50	1224	140
56.087971	5	33	3838	50	1238	140
56.314594	5	33	3844	50	1251	140
56.536912	5	33	3850	50	1262	140
56.749855	5	33	3857	49	1276	140
56.990364	5	34	3863	49	1288	140
57.233244	5	34	3871	49	1300	140
57.457461	5	34	3878	49	1316	140
57.683425	5	34	3884	48	1327	140
57.912533	5	34	3892	48	1341	140
58.144201	5	35	3899	48	1354	140
58.377098	5	35	3907	48	1369	140
58.637097	5	35	3907	48	1374	140
58.896389	5	35	3922	47	1399	140
59.142747	5	36	3928	47	1414	140
59.420808	5	36	3937	47	1430	140
59.61351	5	36	3942	47	1441	140
59.816568	5	36	3948	46	1453	140
60.018332	5	37	3953	46	1465	140
60.277163	5	37	3962	46	1480	140
60.473421	5	37	3967	46	1489	140
60.672487	5	37	3973	46	1	140
60.859095	5	37	3979	45	1514	140
61.055625	5	38	3984	45	1	140
61.249114	5	38	3990	45	1	140
61.436047	5	38	3996	45	1	140
61.634945	5	38	4001	45	1	141
61.825586	5	38	4006	44	1	141
62.017147	5	39	401	44	1	141
62.20048	5	39	401	44	1	141
62.411424	5	39	4024	44	1603	141
62.612486	5	39	4030	44	1615	141
62.801198	5	39	4036	43	1627	141
62.992848	5	40	4042	43	1639	141
63.205428	5	40	4048	43	1651	141
63.39248	5	40	4053	43	1663	141
63.588852	5	40	4059	43	1675	141
63.792122	5	40	4065	42	1688	141
63.984804	5	41	4070	42	1698	141
64.178219	5	41	4076	42	1711	141
64.374744	5	41	4081	42	1722	141
64.574751	5	41	4087	42	1734	141
64.784779	5	41	4093	41	1747	141
64.982527	5	42	4098	41	1759	141
65.17738	5	42	41	41	1771	141
65.37299	5	42	4110	41	1782	141
65.570094	5	42	4116	41	1794	141
65.763487	5	42	4121	40	1806	141
65.954894	5	43	41	40	1818	141
66.153513	5	43	41	40	1828	141
66.347751	5	43	41	40	1842	141
66.542137	5	43	4143	40	1852	141
66.741325	5	43	4149	39	1865	141
66.940426	5	NaN	41	39	1876	141
67.158855	5	NaN	4161	39	1889	141
67.355776	5	NaN	41	39	1901	141
67.540335	5	NaN	4171	39	1913	141
67.742149	5	NaN	4177	38	1925	141
67.927481	5	NaN	41	38	1938	141
68.121452	5	45	41	38	1950	141
68.322812	5	45	41	38	1962	141
68.509794	5	45	41	38	1972	141
68.701274	5	45	4204	37	1984	141
68.904707	5	45	4210	37	1997	141
69.093691	5	46	4215	37	2009	141
69.29544	5	46	4220	37	2021	141
69.494293	5	46	4226	37	2033	141
69.697331	5	46	4231	36	2046	141
69.917481	5	47	4237	36	2058	141
70.105297	5	47	4242	36	2070	141
70.29929	5	47	4247	36	2082	141
70.492496	5	47	4251	36	2094	142
70.682554	5	47	4257	35	21	142
70.86758	5	47	4262	35	2118	142
71.074674	5	48	4267	35	2130	142
71.263278	5	48	4271	35	2143	142
71.454853	5	48	4276	35	21	142
71.658989	5	48	4281	34	21	142
71.854762	5	48	4286	34	2178	142
72.045677	5	49	4290	34	21	142
72.233244	5	49	4295	34	2203	142
72.434009	5	49	4300	33	2213	142
72.634178	5	49	4304	33	2228	142
72.823553	5	49	4309	33	2241	142
73.019376	5	50	431	33	2254	142
73.244829	5	50	431	33	2264	142
73.458176	5	50	4323	32	2284	142
73.697615	5	50	4330	32	2305	142
74.042242	5	51	4336	32	2322	142
74.308935	5	51	4341	31	2337	142
74.530067	5	51	4345	31	2352	142
74.747426	5	51	4349	31	2366	142
74.977871	5	52	4353	31	2379	142
75.176852	5	52	4356	30	2392	142
75.394872	5	52	4360	30	2407	142
75.595228	5	52	4363	30	2420	142
75.802729	5	52	4367	30	2435	142
76.046923	5	53	4370	29	2448	142
76.258024	5	53	4372	29	2461	142
76.476772	5	53	4376	29	2476	142
76.6961	5	53	4378	29	2491	142
76.945523	5	54	4381	29	2505	142
77.16146	5	54	4384	28	2521	142
77.416321	5	54	4386	28	2534	142
77.627198	5	54	4388	28	2547	142
77.848207	5	54	4390	27	2567	142
78.158517	5	55	4392	27	2585	142
78.459283	5	55	4393	27	2601	142
78.684276	5	55	4394	27	2617	142
78.903321	5	55	4394	26	2630	142
79.120415	5	56	4395	26	2645	142
79.33781	5	56	4395	26	2660	142
79.549745	5	56	4394	26	2679	142
79.853859	5	56	4393	25	2695	142
80.094026	5	57	4392	25	271	142
80.308801	5	57	4391	25	2727	142
80.51677	5	57	4389	25	2740	142
80.735722	5	57	4387	24	2753	142
80.956519	5	58	4385	24	2767	142
81.160129	5	58	4382	24	2781	142
81.361868	5	58	4379	24	2794	142
81.587003	5	58	4375	23	2812	143
81.839095	5	58	4371	23	2825	143
82.05796	5	59	4366	23	2841	143
82.284447	5	59	4361	23	2855	143
82.502777	5	59	4357	22	2870	143
82.720504	5	59	4349	22	2886	143
82.964481	6	0	4343	22	2901	143
83.173924	6	0	4336	22	2916	143
83.399446	6	0	4328	21	2930	143
83.617983	6	0	4322	21	2944	143
83.831615	6	0	4312	21	2960	143
84.053099	6	0	4302	21	2973	143
84.27536	6	1	4291	20	2994	143
84.590198	6	1	4278	20	3014	143
84.867345	6	1	4263	20	3030	143
85.136739	6	2	4247	19	3049	143
85.404413	6	2	4230	19	3066	143
85.637134	6	2	4215	19	3082	143
85.912771	6	2	4203	19	3090	143
86.156038	6	3	41	18	3110	143
86.407165	6	3	41	18	3131	143
86.619599	6	3	4141	18	3147	143
86.871084	6	3	4121	18	3163	143
87.075827	6	4	4101	17	3181	143
87.283834	6	4	4082	17	3192	143
87.564714	6	4	4048	17	321	143
